car_ID,price,fueltype,fuelsystem,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
186,8195,gas,mpfi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9,85,5250,27,34
187,8495,gas,mpfi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9,85,5250,27,34
188,9495,diesel,idi,turbo,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23,68,4500,37,42
189,9995,gas,mpfi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10,100,5500,26,32
190,11595,gas,mpfi,std,two,convertible,fwd,front,ohc,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,24,29
191,9980,gas,mpfi,std,two,hatchback,fwd,front,ohc,94.5,165.7,64,51.4,2221,four,109,3.19,3.4,8.5,90,5500,24,29
192,13295,gas,mpfi,std,four,sedan,fwd,front,ohc,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,19,24
193,13845,diesel,idi,turbo,four,sedan,fwd,front,ohc,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23,68,4500,33,38
194,12290,gas,mpfi,std,four,wagon,fwd,front,ohc,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9,88,5500,25,31
195,12940,gas,mpfi,std,four,sedan,rwd,front,ohc,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,23,28
196,13415,gas,mpfi,std,four,wagon,rwd,front,ohc,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,23,28
197,15985,gas,mpfi,std,four,sedan,rwd,front,ohc,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,24,28
198,16515,gas,mpfi,std,four,wagon,rwd,front,ohc,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,24,28
199,18420,gas,mpfi,turbo,four,sedan,rwd,front,ohc,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,17,22
200,18950,gas,mpfi,turbo,four,wagon,rwd,front,ohc,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,17,22
201,16845,gas,mpfi,std,four,sedan,rwd,front,ohc,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,23,28
202,19045,gas,mpfi,turbo,four,sedan,rwd,front,ohc,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19,25
203,21485,gas,mpfi,std,four,sedan,rwd,front,ohcv,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,18,23
204,22470,diesel,idi,turbo,four,sedan,rwd,front,ohc,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23,106,4800,26,27
205,22625,gas,mpfi,turbo,four,sedan,rwd,front,ohc,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,19,25
